"Date","Win7","WinXP","Win10","WinVista","Win8.1","Win8","Win11","Win2003","Win2000","Win98","Win8.1 RT","WinME","Other"
2015-08,60.19,11.04,6.11,2.2,16.32,3.91,0,0.12,0.02,0.07,0,0,0.02
2015-09,58.89,10.72,8.74,2.12,15.56,3.72,0,0.12,0.02,0.09,0,0,0.02
2015-10,58.15,10.44,10.42,2.05,15.14,3.61,0,0.13,0.03,0.01,0,0,0.03
2015-11,57.4,9.9,11.86,2.02,15.16,3.45,0,0.13,0.04,0,0,0,0.03
2015-12,55.89,9.95,13.98,2.1,14.31,3.52,0,0.13,0.04,0.05,0,0,0.03
2016-01,54.78,9.36,16.02,2.08,13.7,3.7,0,0.2,0.04,0.08,0,0,0.03
2016-02,54.33,8.97,17.52,1.91,13.48,3.55,0,0.13,0.02,0.07,0,0,0.03
2016-03,53.27,8.74,19.24,1.78,12.73,4.01,0,0.14,0.02,0.04,0,0,0.03
2016-04,52.24,8.74,20.99,1.73,12.08,3.97,0,0.21,0.02,0.01,0,0,0.02
2016-05,51.19,7.91,23.63,1.68,11.33,4.04,0,0.17,0.02,0.01,0,0,0.01
2016-06,49.94,7.73,26.04,1.63,10.31,4.16,0,0.15,0.02,0.01,0,0,0.01
2016-07,48.8,7.64,28.24,1.58,10.08,3.42,0,0.15,0.01,0.05,0,0,0.01
2016-08,48.37,7.07,29.63,1.49,10.16,3.09,0,0.1,0.01,0.07,0,0,0.01
2016-09,48.43,6.69,30.02,1.41,10.45,2.84,0,0.09,0.01,0.05,0,0,0
2016-10,48.21,6.18,30.69,1.53,10.29,2.94,0,0.09,0.01,0.05,0,0,0
2016-11,48.12,5.92,31.54,1.32,10.21,2.71,0,0.08,0.01,0.08,0,0,0.01
2016-12,47.74,5.93,32.22,1.2,10,2.71,0,0.08,0.01,0.09,0,0,0
2017-01,47.46,5.72,32.84,1.2,9.65,3.02,0,0.08,0.01,0.01,0,0,0.01
2017-02,47.17,5.53,33.8,1.12,9.7,2.58,0,0.07,0.01,0,0,0,0
2017-03,47.06,5.47,34.25,1.07,9.62,2.44,0,0.07,0.01,0,0,0,0
2017-04,46.23,5.26,35.53,1.02,9.56,2.32,0,0.07,0.01,0,0,0,0
2017-05,46.37,5.06,35.76,0.97,9.44,2.32,0,0.06,0.01,0.01,0,0,0
2017-06,45.76,4.86,36.6,0.93,9.37,2.4,0,0.06,0.01,0.01,0,0,0
2017-07,45.73,4.94,36.93,0.85,9.14,2.32,0,0.07,0.01,0.01,0,0,0
2017-08,45.1,4.48,37.87,0.82,9.13,2.5,0,0.08,0.01,0,0,0,0
2017-09,43.99,4.19,39.3,0.79,9.01,2.64,0,0.07,0.01,0.01,0,0,0
2017-10,42.67,3.89,40.95,0.73,9.03,2.64,0,0.07,0.01,0.01,0,0,0
2017-11,42.51,3.66,41.36,0.67,9.03,2.67,0,0.08,0.01,0,0,0,0
2017-12,41.89,3.6,41.69,0.7,9.16,2.86,0,0.08,0.01,0,0,0,0
2018-01,41.86,3.36,42.78,0.74,8.72,2.44,0,0.07,0.01,0,0,0,0
2018-02,41.59,3.2,43.53,0.62,8.51,2.48,0,0.06,0.01,0,0,0,0
2018-03,41.51,3.42,43.95,0.61,7.99,2.44,0,0.07,0.01,0,0,0,0
2018-04,40.08,3.18,46.07,0.61,7.93,2.05,0,0.07,0.01,0,0,0,0
2018-05,39.44,2.98,47.21,0.61,7.78,1.92,0,0.06,0.01,0,0,0,0
2018-06,39.63,2.97,46.75,0.65,7.7,2.23,0,0.06,0.01,0,0,0,0
2018-07,39.06,2.88,47.25,0.63,7.56,2.54,0,0.05,0.01,0,0,0,0
2018-08,38.65,3.06,48.19,0.6,7.34,2.1,0,0.05,0.01,0,0,0,0
2018-09,37.2,2.51,50.07,0.58,7.35,2.24,0,0.04,0.01,0,0,0,0
2018-10,36.31,2.16,51.94,0.55,7.02,1.97,0,0.04,0.01,0,0,0,0
2018-11,35.55,2.22,52.7,0.59,6.85,2.03,0,0.04,0.01,0,0,0,0
2018-12,35.63,2.33,52.36,0.63,6.95,2.03,0,0.05,0.01,0,0,0,0
