"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Playstation","Other"
2014-09,88.49,9.15,0.72,1.39,0.25,0,0,0,0
2014-10,88.28,9.13,0.9,1.41,0.27,0,0,0,0
2014-11,88.47,8.98,0.93,1.33,0.28,0,0,0,0
2014-12,88.74,8.67,0.91,1.39,0.29,0,0,0,0
2015-01,88.19,9.1,0.91,1.46,0.33,0,0,0,0.01
2015-02,88.08,9.09,0.94,1.55,0.34,0,0,0,0.01
2015-03,86.99,9.83,1,1.82,0.34,0,0,0,0.01
2015-04,87,9.61,1.12,1.91,0.35,0,0,0,0.01
2015-05,86.09,10.51,1.23,1.77,0.38,0,0,0,0.02
2015-06,86.3,10.17,1.46,1.77,0.29,0,0,0,0.02
2015-07,87.7,8.6,1.9,1.52,0.26,0,0,0,0.01
2015-08,88.07,8.18,1.94,1.5,0.3,0,0,0,0.01
2015-09,87.48,8.63,1.93,1.55,0.41,0,0,0,0.01
2015-10,86.44,9.02,2.51,1.57,0.46,0,0,0,0.01
2015-11,85.84,9.36,2.81,1.5,0.47,0,0,0,0.01
2015-12,84.89,9.8,3.31,1.48,0.51,0,0,0,0.01
2016-01,85.18,9.03,3.8,1.47,0.51,0,0,0,0.01
2016-02,84.82,9.33,3.83,1.47,0.55,0,0,0,0.01
2016-03,85.89,9.38,2.74,1.45,0.53,0,0,0,0.01
2016-04,85.3,9.52,3.06,1.55,0.55,0,0,0,0.01
2016-05,84.54,9.83,3.59,1.44,0.59,0,0,0,0.01
2016-06,84.1,9.95,4.06,1.47,0.41,0,0,0,0.01
2016-07,83.33,9.61,5.16,1.54,0.35,0,0,0,0.01
2016-08,82.45,9.81,5.81,1.52,0.41,0,0,0,0.01
2016-09,81.34,10.09,6.42,1.49,0.65,0,0,0,0.01
2016-10,80.84,10.88,6.14,1.44,0.7,0,0,0,0
2016-11,83.15,11.14,3.43,1.53,0.75,0,0,0,0.01
2016-12,84.27,11,2.42,1.57,0.74,0,0,0,0.01
2017-01,84.4,11.2,2.07,1.55,0.77,0,0,0,0.01
2017-02,84.14,11.6,1.9,1.53,0.83,0,0,0,0.01
2017-03,84.34,11.68,1.59,1.54,0.84,0,0,0,0.01
2017-04,84.22,11.61,1.73,1.68,0.75,0,0,0,0.01
2017-05,83.92,11.76,1.83,1.66,0.82,0,0,0,0.01
2017-06,84.32,11.59,1.78,1.74,0.55,0,0,0,0.01
2017-07,84.46,11.32,1.97,1.79,0.45,0,0,0,0.01
2017-08,83.53,11.95,2.15,1.79,0.56,0,0,0,0.01
2017-09,83.28,12.15,2.06,1.66,0.84,0,0,0,0.01
2017-10,82.96,12.98,1.46,1.62,0.97,0,0,0,0.01
2017-11,82.74,13.23,1.46,1.57,0.98,0,0,0,0.01
2017-12,82.68,13.06,1.8,1.54,0.91,0,0,0,0.01
2018-01,82.68,12.8,2.17,1.43,0.9,0,0,0,0.01
2018-02,82.55,12.37,2.61,1.45,1,0,0,0,0.01
2018-03,81.91,12.51,3.07,1.48,1.03,0,0,0,0.01
2018-04,81.73,13.18,2.45,1.66,0.98,0,0,0,0.01
2018-05,81.8,13.36,2.01,1.61,1.22,0,0,0,0.01
2018-06,82.45,12.98,2.09,1.69,0.78,0,0,0,0.01
2018-07,82.88,12.52,2.37,1.71,0.5,0,0,0,0.01
2018-08,82.51,12.65,2.48,1.69,0.66,0,0,0,0.01
2018-09,81.76,13.49,1.99,1.68,1.08,0,0,0,0.01
2018-10,78.04,13.73,5.44,1.64,1.15,0,0,0,0.01
2018-11,70.22,12.25,14.96,1.47,1.1,0,0,0,0.01
2018-12,76.17,12.33,8.46,1.69,1.35,0,0,0,0.01
2019-01,75.47,12.33,9.41,1.61,1.17,0,0,0,0.01
